clip_name,end,event_number,start
ESPN_E_App_Logo_Reveal_sfx_1080_23.98fps.mov,00:00:03;58,001,00:00:00;00
amira_selects_mem_vs_mia_102319broll_part2.mov,00:00:04;44,002,00:00:03;58
rooks_coby_vs_lal_bts.mov,00:00:05;34,003,00:00:04;44
MVI_3011.MP4,00:00:06;20,004,00:00:05;34
phantom_selects_CHI_NYK_broll_pt2_102919.mov,00:00:07;14,005,00:00:06;20
rooks_191123_atl_tor_hunter.mov,00:00:08;06,006,00:00:07;14
rooks_191117_atl_lak_hunter_reddish.mov,00:00:08;50,007,00:00:08;06
rooks_191123_atl_tor_hunter.mov,00:00:10;40,008,00:00:08;50
rooks_191117_atl_lak_hunter_reddish.mov,00:00:12;26,009,00:00:10;40
rooks_191117_atl_lak_hunter_reddish.mov,00:00:13;26,010,00:00:12;26
rooks_191117_atl_lak_hunter_reddish.mov,00:00:15;02,011,00:00:13;26
rooks_191120_chi_det_white.mov,00:00:16;16,012,00:00:15;02
rooks_191105_chi_lal_white.mov,00:00:17;00,013,00:00:16;16
rooks_191202_chi_sac_white.mov,00:00:17;36,014,00:00:17;00
rooks_191117_chi_mil_white.mov,00:00:19;28,015,00:00:17;36
rooks_191206_chi_gsw_white.mov,00:00:20;46,016,00:00:19;28
rooks_191206_chi_gsw_white.mov,00:00:21;44,017,00:00:20;46
rooks_191206_chi_gsw_white.mov,00:00:23;16,018,00:00:21;44
rooks_191206_chi_gsw_white.mov,00:00:25;50,019,00:00:23;16
rooks_191110_nyk_cle_rj.mov,00:00:27;22,020,00:00:25;50
rooks_191110_nyk_cle_rj.mov,00:00:28;24,021,00:00:27;22
rooks_191129_phi_nyk_rj.mov,00:00:31;14,022,00:00:28;24
rooks_191114_nyk_dal_rj.mov,00:00:33;22,023,00:00:31;14
rooks_191114_nyk_dal_rj.mov,00:00:35;30,024,00:00:33;22
rooks_191114_nyk_dal_rj.mov,00:00:36;36,025,00:00:35;30
rooks_191127_mem_lac.mov,00:00:38;10,026,00:00:36;36
rooks_191127_mem_lac.mov,00:00:40;00,027,00:00:38;10
rooks_ja_dribbles.mov,00:00:41;42,028,00:00:40;00
rooks_191113_mem_cha_ja.mov,00:00:43;34,029,00:00:41;42
rooks_ja_missed_dunk_122119.mov,00:00:46;20,030,00:00:43;34
rooks_191211_mem_pho_ja.mov,00:00:49;06,031,00:00:46;20
rooks_191211_mem_pho_ja.mov,00:00:50;16,032,00:00:49;06
rooks_191211_mem_pho_ja.mov,00:00:53;57,033,00:00:50;16
OPEN December REVISION MIXED WITH GRAPHICS.mpeg,00:01:11;02,034,00:00:53;57
rooks_pelicans_maedia_day_BTS_100219.mov,00:01:12;09,035,00:01:11;02
rooks_pelicans_maedia_day_BTS_100219.mov,00:01:13;41,036,00:01:12;09
Clip0236.MXF,00:01:18;31,037,00:01:13;41
Clip0223.MXF,00:01:19;28,038,00:01:18;31
Clip0223.MXF,00:01:20;24,039,00:01:19;28
Clip0223.MXF,00:01:21;21,040,00:01:20;24
Clip0227.MXF,00:01:26;26,041,00:01:21;21
Clip0246.MXF,00:01:31;56,042,00:01:26;26
Clip0240.MXF,00:01:37;21,043,00:01:31;56
Clip0245.MXF,00:01:44;53,044,00:01:37;21
Clip0249.MXF,00:01:49;47,045,00:01:44;53
