clip_name,end,event_number,start
ESPN_E_App_Logo_Reveal_sfx_1080_23.98fps.mov,00:00:04;02,001,00:00:00;00
rooks_den_redrock_workout.mov,00:00:06;57,002,00:00:04;02
rooks_den_redrock_workout.mov,00:00:08;25,003,00:00:06;57
rooks_den_redrock_workout.mov,00:00:13;48,004,00:00:08;25
rooks_den_redrock_workout.mov,00:00:16;46,005,00:00:13;48
rooks_den_redrock_workout.mov,00:00:18;22,006,00:00:16;46
rooks_den_redrock_workout.mov,00:00:21;20,007,00:00:18;22
rooks_den_redrock_workout.mov,00:00:24;30,008,00:00:21;20
rooks_den_redrock_workout.mov,00:00:26;35,009,00:00:24;30
NBA ROOKS_Intro_v02_92319.mov,00:00:43;28,010,00:00:26;35
935505 white football field workout 1 mw.mov,00:00:47;29,011,00:00:43;28
933505 coby white daniel gafford workout press.mov,00:00:53;28,012,00:00:47;29
rooks_bulls_run_with_us_ep1.mov,00:00:56;34,013,00:00:53;28
rooks_coby_intv.mov,00:00:58;36,014,00:00:56;34
933505 coby white daniel gafford workout press.mov,00:01:02;08,015,00:00:58;36
935505 white football field workout 1 mw.mov,00:01:04;48,016,00:01:02;08
rooks_coby_intv.mov,00:01:07;07,017,00:01:04;48
rooks_tp_bulls_Card_1_101419.mov,00:01:11;34,018,00:01:07;07
rooks_pw_card1_bulls_practice.mov,00:01:16;21,019,00:01:11;34
phantom_selects_chi_all_access_practice_101419_.mov,00:01:19;20,020,00:01:16;21
phantom_selects_chi_all_access_practice_101419_.mov,00:01:21;24,021,00:01:19;20
phantom_selects_chi_all_access_practice_101419_.mov,00:01:22;50,022,00:01:21;24
phantom_selects_chi_all_access_practice_101419_.mov,00:01:24;19,023,00:01:22;50
phantom_selects_chi_all_access_practice_101419_.mov,00:01:25;57,024,00:01:24;19
phantom_selects_chi_all_access_practice_101419_.mov,00:01:27;39,025,00:01:25;57
phantom_selects_chi_all_access_practice_101419_.mov,00:01:29;21,026,00:01:27;39
phantom_selects_chi_all_access_practice_101419_.mov,00:01:30;53,027,00:01:29;21
phantom_selects_chi_all_access_practice_101419_.mov,00:01:32;37,028,00:01:30;53
coach_boylen_sitdown_interview.mov,00:01:35;47,029,00:01:32;37
phantom_selects_chi_all_access_practice_101419_.mov,00:01:40;10,030,00:01:35;47
coach_boylen_sitdown_interview.mov,00:01:42;52,031,00:01:40;10
phantom_selects_chi_all_access_practice_101419_.mov,00:01:49;19,032,00:01:42;52
coby_white_sitdown_interview.MXF,00:01:51;28,033,00:01:49;19
rooks_tp_bulls_Card_1_101419.mov,00:01:54;36,034,00:01:51;28
rooks_pw_card1_bulls_practice.mov,00:02:01;26,035,00:01:54;36
rooks_pw_card1_bulls_practice.mov,00:02:04;23,036,00:02:01;26
coach_boylen_sitdown_interview.mov,00:02:06;30,037,00:02:04;23
phantom_selects_chi_all_access_practice_101419_.mov,00:02:09;00,038,00:02:06;30
bulls_practice_tp_card1.mov,00:02:11;04,039,00:02:09;00
bulls_practice_tp_card1.mov,00:02:14;02,040,00:02:11;04
