clip_name,end,event_number,start
ESPN_E_App_Logo_Reveal_sfx_1080_23.98fps.mov,00:00:04;03,001,00:00:00;00
rooks_brooklyn_scenics_1.mov,00:00:07;24,002,00:00:04;03
rooks_brooklyn_scenics_1.mov,00:00:11;29,003,00:00:07;24
nbadraft phantom broll.mov,00:00:14;28,004,00:00:11;29
nbadraft phantom broll.mov,00:00:16;13,005,00:00:14;28
934351 draft bus ride 1 mw.mov,00:00:18;43,006,00:00:16;13
934351 draft bus ride 1 mw.mov,00:00:24;18,007,00:00:18;43
934351 draft bus ride 1 mw.mov,00:00:27;57,008,00:00:24;18
934352 williamson draft 1 mw.mov,00:00:30;40,009,00:00:27;57
NBA ROOKS_Intro_v02_92319.mov,00:00:46;59,010,00:00:30;40
rooks_ja_1st_48.mov,00:00:49;14,011,00:00:46;59
934345 draft green room bts 1 mw.mov,00:00:51;56,012,00:00:49;14
934341 morant draft 1 mw.mov,00:00:56;41,013,00:00:51;56
nbadraft phantom broll.mov,00:00:57;16,014,00:00:56;41
nbadraft phantom broll.mov,00:00:57;55,015,00:00:57;16
nbadraft phantom broll.mov,00:00:59;00,016,00:00:57;55
nbadraft phantom broll.mov,00:01:00;08,017,00:00:59;00
934341 morant draft 1 mw.mov,00:01:02;09,018,00:01:00;08
934345 draft green room bts 1 mw.mov,00:01:04;01,019,00:01:02;09
934341 morant draft 1 mw.mov,00:01:07;06,020,00:01:04;01
934348 barrett draft 2 mw.mov,00:01:12;35,021,00:01:07;06
934352 williamson draft 1 mw.mov,00:01:15;06,022,00:01:12;35
934345 draft green room bts 1 mw.mov,00:01:19;37,023,00:01:15;06
934345 draft green room bts 1 mw.mov,00:01:28;46,024,00:01:19;37
nbadraft phantom broll.mov,00:01:33;14,025,00:01:28;46
A233C002_190811_R5AA.mov,00:01:39;32,026,00:01:33;14
934352 williamson draft 1 mw.mov,00:01:43;16,027,00:01:39;32
934348 barrett draft 2 mw.mov,00:01:49;36,028,00:01:43;16
934352 williamson draft 1 mw.mov,00:01:52;38,029,00:01:49;36
934348 barrett draft 2 mw.mov,00:01:58;33,030,00:01:52;38
934345 draft green room bts 1 mw.mov,00:02:02;51,031,00:01:58;33
934352 williamson draft 2 mw.mov,00:02:08;19,032,00:02:02;51
nbadraft phantom broll pt2.mov,00:02:23;12,033,00:02:08;19
A233C002_190811_R5AA.mov,00:02:27;47,034,00:02:23;12
rooks_19rooks_draft_phantom.mov,00:02:34;59,035,00:02:27;47
A233C002_190811_R5AA.mov,00:02:39;31,036,00:02:34;59
rooks_19rooks_zion_post_draft_intv_offair.mov,00:02:42;17,037,00:02:39;31
rooks_19rooks_zion_post_draft_intv_offair.mov,00:02:50;38,038,00:02:42;17
A233C002_190811_R5AA.mov,00:02:52;10,039,00:02:50;38
rooks_19rooks_zion_post_draft_intv_offair.mov,00:02:59;33,040,00:02:52;10
934341 morant draft 1 mw.mov,00:03:15;32,041,00:02:59;33
935829 ja morant summer league int gh.mov,00:03:21;06,042,00:03:15;32
rooks_ja_1st_48.mov,00:03:23;59,043,00:03:21;06
934341 morant draft 1 mw.mov,00:03:33;30,044,00:03:23;59
934349 barrett draft 3 mw.mov,00:03:37;42,045,00:03:33;30
nbadraft phantom broll pt2.mov,00:03:43;01,046,00:03:37;42
934349 barrett draft 3 mw.mov,00:03:53;10,047,00:03:43;01
A233C004_190811_R5AA.mov,00:04:01;46,048,00:03:53;10
934350 barrett draft 5 mw.mov,00:04:11;53,049,00:04:01;46
934352 williamson draft 2 mw.mov,00:04:14;29,050,00:04:11;53
934349 barrett draft 3 mw.mov,00:04:17;41,051,00:04:14;29
934352 williamson draft 2 mw.mov,00:04:20;36,052,00:04:17;41
934349 barrett draft 3 mw.mov,00:04:24;09,053,00:04:20;36
rooks_19rooks_draft_offair.mov,00:04:28;38,054,00:04:24;09
rooks_936217_hunter_summer_league_int_1_mw.mov,00:04:32;54,055,00:04:28;38
rooks_19rooks_draft_offair.mov,00:04:37;42,056,00:04:32;54
nbadraft phantom broll pt2.mov,00:04:43;12,057,00:04:37;42
rooks_936217_hunter_summer_league_int_1_mw.mov,00:04:45;01,058,00:04:43;12
nbadraft phantom broll pt2.mov,00:04:48;30,059,00:04:45;01
nbadraft phantom broll.mov,00:04:51;18,060,00:04:48;30
rooks_draft_footage.mov,00:05:01;09,061,00:04:51;18
A236C005_190811_R5AA.mov,00:05:04;01,062,00:05:01;09
rooks_draft_footage.mov,00:05:15;29,063,00:05:04;01
