clip_name,end,event_number,start
ESPN_E_App_Logo_Reveal_sfx_1080_23.98fps.mov,00:00:03;49,001,00:00:00;00
rooks_ja_1st_48.mov,00:00:09;10,002,00:00:03;49
rooks_ja_1st_48.mov,00:00:13;33,003,00:00:09;10
rooks_ja_1st_48.mov,00:00:16;57,004,00:00:13;33
rooks_ja_1st_48.mov,00:00:30;18,005,00:00:16;57
NBA ROOKS_Intro_v02_92319.mov,00:00:47;02,006,00:00:30;18
rooks_19rooks_new_orleans_scenics_2.mov,00:00:51;35,007,00:00:47;02
rooks_19rooks_new_orleans_scenics_1.mov,00:00:55;41,008,00:00:51;35
935278 drew brees greets zion gh.mov,00:01:05;36,009,00:00:55;41
935278 drew brees greets zion gh.mov,00:01:14;43,010,00:01:05;36
935278 drew brees greets zion gh.mov,00:01:19;36,011,00:01:14;43
935278 drew brees greets zion gh.mov,00:01:29;50,012,00:01:19;36
rooks_ja_1st_48.mov,00:01:36;16,013,00:01:29;50
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:01:41;22,014,00:01:36;16
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:01:42;17,015,00:01:41;22
rooks_bulls_run_with_us_ep1.mov,00:01:43;44,016,00:01:42;17
rooks_bulls_run_with_us_ep1.mov,00:01:45;43,017,00:01:43;44
rooks_bulls_run_with_us_ep1.mov,00:01:46;58,018,00:01:45;43
rooks_bulls_run_with_us_ep1.mov,00:01:49;26,019,00:01:46;58
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:01:52;17,020,00:01:49;26
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:01:55;04,021,00:01:52;17
rooks_ja_1st_48.mov,00:02:01;08,022,00:01:55;04
rooks_ja_1st_48.mov,00:02:03;41,023,00:02:01;08
atl_hawks_intro_pressers_1.mov,00:02:05;55,024,00:02:03;41
atl_hawks_intro_pressers_1.mov,00:02:08;47,025,00:02:05;55
rooks_bulls_run_with_us_ep1.mov,00:02:10;54,026,00:02:08;47
935506 coby white intro presser.mov,00:02:13;48,027,00:02:10;54
rooks_ja_1st_48.mov,00:02:15;07,028,00:02:13;48
rooks_jamorant_intro_presser.mov,00:02:17;00,029,00:02:15;07
rooks_ja_1st_48.mov,00:02:18;49,030,00:02:17;00
937923 air zion challenge gh.mov,00:02:20;26,031,00:02:18;49
937923 air zion challenge gh.mov,00:02:23;00,032,00:02:20;26
937923 air zion challenge gh.mov,00:02:29;16,033,00:02:23;00
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:02:31;11,034,00:02:29;16
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:02:34;05,035,00:02:31;11
rooks_bulls_run_with_us_ep1.mov,00:02:41;16,036,00:02:34;05
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:02:48;16,037,00:02:41;16
rooks_937924_zion_brees_2_mw.mov,00:02:50;35,038,00:02:48;16
rooks_937924_zion_brees_2_mw.mov,00:02:58;24,039,00:02:50;35
rooks_937924_zion_brees_2_mw.mov,00:03:04;38,040,00:02:58;24
rooks_937924_zion_brees_2_mw.mov,00:03:14;31,041,00:03:04;38
rooks_937924_zion_brees_2_mw.mov,00:03:19;12,042,00:03:14;31
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:03:24;12,043,00:03:19;12
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:03:27;32,044,00:03:24;12
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:03:33;10,045,00:03:27;32
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:03:38;09,046,00:03:33;10
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:03:44;30,047,00:03:38;09
rooks_fizdale_rj_int_al.mov,00:03:54;51,048,00:03:44;30
rooks_toronto_scenics.mov,00:03:59;19,049,00:03:54;51
899843 barrett predraft workout 1 mw.mov,00:04:03;26,050,00:03:59;19
899843 barrett predraft workout 1 mw.mov,00:04:06;50,051,00:04:03;26
899843 barrett predraft workout 1 mw.mov,00:04:09;18,052,00:04:06;50
899843 barrett predraft workout 1 mw.mov,00:04:12;18,053,00:04:09;18
899843 barrett predraft workout 1 mw.mov,00:04:16;01,054,00:04:12;18
899843 barrett predraft workout 1 mw.mov,00:04:21;07,055,00:04:16;01
899843 barrett predraft workout 1 mw.mov,00:04:24;18,056,00:04:21;07
899843 barrett predraft workout 1 mw.mov,00:04:25;14,057,00:04:24;18
899843 barrett predraft workout 1 mw.mov,00:04:26;07,058,00:04:25;14
899843 barrett predraft workout 1 mw.mov,00:04:27;25,059,00:04:26;07
899843 barrett predraft workout 1 mw.mov,00:04:28;55,060,00:04:27;25
899843 barrett predraft workout 1 mw.mov,00:04:29;26,061,00:04:28;55
899843 barrett predraft workout 1 mw.mov,00:04:29;49,062,00:04:29;26
899843 barrett predraft workout 1 mw.mov,00:04:30;37,063,00:04:29;49
899843 barrett predraft workout 1 mw.mov,00:04:31;11,064,00:04:30;37
899843 barrett predraft workout 1 mw.mov,00:04:32;01,065,00:04:31;11
899843 barrett predraft workout 1 mw.mov,00:04:34;03,066,00:04:32;01
899843 barrett predraft workout 1 mw.mov,00:04:54;29,067,00:04:34;03
899843 barrett predraft 2 mw.mov,00:04:56;25,068,00:04:54;29
899843 barrett predraft 2 mw.mov,00:04:57;59,069,00:04:56;25
899843 barrett predraft workout 1 mw.mov,00:05:04;04,070,00:04:57;59
899843 barrett predraft 2 mw.mov,00:05:06;45,071,00:05:04;04
899843 barrett predraft 2 mw.mov,00:05:11;46,072,00:05:06;45
899843 barrett predraft 2 mw.mov,00:05:14;15,073,00:05:11;46
899843 barrett predraft workout 1 mw.mov,00:05:16;54,074,00:05:14;15
RJ Barrett new (5).jpg,00:05:20;21,075,00:05:16;54
899843 barrett predraft workout 1 mw.mov,00:05:23;26,076,00:05:20;21
899843 barrett predraft 2 mw.mov,00:05:25;41,077,00:05:23;26
899843 barrett predraft 2 mw.mov,00:05:28;17,078,00:05:25;41
899843 barrett predraft workout 1 mw.mov,00:05:30;02,079,00:05:28;17
899843 barrett predraft 2 mw.mov,00:05:33;33,080,00:05:30;02
899843 barrett predraft 2 mw.mov,00:05:37;58,081,00:05:33;33
899843 barrett predraft 2 mw.mov,00:05:54;43,082,00:05:37;58
899843 barrett predraft 2 mw.mov,00:05:59;07,083,00:05:54;43
899843 barrett predraft workout 1 mw.mov,00:06:00;49,084,00:05:59;07
899843 barrett predraft 2 mw.mov,00:06:02;53,085,00:06:00;49
899843 barrett predraft 2 mw.mov,00:06:04;12,086,00:06:02;53
899843 barrett predraft 2 mw.mov,00:06:05;42,087,00:06:04;12
899843 barrett predraft 2 mw.mov,00:06:10;12,088,00:06:05;42
899843 barrett predraft 2 mw.mov,00:06:11;46,089,00:06:10;12
899843 barrett predraft 2 mw.mov,00:06:13;05,090,00:06:11;46
899843 barrett predraft 2 mw.mov,00:06:14;39,091,00:06:13;05
899843 barrett predraft 2 mw.mov,00:06:16;25,092,00:06:14;39
899843 barrett predraft 2 mw.mov,00:06:19;48,093,00:06:16;25
899843 barrett predraft 2 mw.mov,00:06:22;41,094,00:06:19;48
899843 barrett predraft 2 mw.mov,00:06:25;17,095,00:06:22;41
